Age	Months	ID	Gender	Condition	RT	Accuracy	Pure Case	Pure RT	MixRepCase	MixRepRT	MixSwiCase	MixSwiRT	PRspRCase	PRspRRT	PRspSCase	PRspSRT	MRspRCase	MRspRRT	MRspSCase	MRspSRT	Pure Correct	MixCorrect	MixRepCorrect	MixSwiCorrect	PureOmi	MixOmi	PRepOmi	MRepOmi	MSwiOmi	TotalOmi	PureCom	MixCom	PRepCom	MRepCom	MSwiCom	TotalCom	TotalOmi	AllError
6-year-old	74	OE001	f	1	1.2002	0.95833	33	1.0648	31	1.2767	10	1.4966	15	1.0688	18	1.0607	7	1.4759	24	1.218	0.96296	0.97222	0.98148	0.94444	1	0	0	0	0	1	3	2	2	1	1	5	1	6
6-year-old	73	OE002	f	2	1.3885	0.97917	34	1.2384	32	1.3985	10	1.6482	14	1.1529	20	1.2962	14	1.3083	18	1.4699	1	0.95833	0.96296	0.94444	0	1	0	1	0	1	0	2	0	1	1	2	1	3
6-year-old	72	OE003	f	1	1.1035	0.93056	32	1.1096	33	0.9482	10	1.2556	14	1.024	18	1.1772	13	0.99112	20	0.91875	0.98148	0.875	0.92593	0.72222	0	0	0	0	0	0	1	9	1	4	5	10	0	10
6-year-old	78	OE004	m	2	1.3289	0.97222	32	1.1022	33	1.3642	10	1.9962	15	1.0633	17	1.1374	14	1.256	19	1.4468	0.94444	0.98611	0.98148	1	0	0	0	0	0	0	3	1	3	1	0	4	0	4
6-year-old	73	OE005	f	1	1.1295	0.98611	33	1.068	32	1.1255	11	1.1651	18	1.103	15	1.0258	12	0.97562	20	1.2155	0.98148	0.98611	0.98148	1	1	0	1	0	0	1	0	1	0	1	0	1	1	2
6-year-old	80	OE006	f	2	1.635	0.95139	33	1.5673	28	1.7166	8	1.7289	12	1.6808	21	1.5027	12	1.6052	16	1.7985	1	0.90278	0.90741	0.88889	0	4	0	2	2	4	0	3	0	3	0	3	4	7
6-year-old	79	OE007	m	1	1.1153	0.99306	31	1.1276	33	1.0621	11	1.412	12	1.2275	19	1.0617	13	0.96208	20	1.1269	0.98148	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	1	1
6-year-old	74	OE008	m	2	1.2154	0.88889	32	1.1346	31	1.2141	9	1.2212	14	0.98587	18	1.25	12	0.87478	19	1.4315	0.90741	0.84722	0.87037	0.77778	0	0	0	0	0	0	5	11	5	7	4	16	0	16
6-year-old	79	OE009	m	1	1.3581	0.83333	29	1.2174	26	1.6051	10	1.3313	12	1.1981	17	1.2291	9	1.5519	17	1.6319	0.92593	0.72222	0.7037	0.77778	1	8	1	6	2	9	3	12	3	10	2	15	9	24
6-year-old	73	OE010	m	2	0.74254	0.9375	31	0.68819	32	0.77678	11	0.8069	11	0.62855	20	0.71895	12	0.76539	20	0.78432	0.94444	0.91667	0.92593	0.88889	0	0	0	0	0	0	3	6	3	4	2	9	0	9
6-year-old	78	OE011	m	1	1.5821	0.86111	31	1.6277	28	1.492	12	1.7336	14	1.7551	17	1.5248	12	1.3111	16	1.6302	0.92593	0.81944	0.75926	1	1	6	0	6	0	7	6	7	4	7	0	13	7	20
6-year-old	76	OE012	m	2	0.79895	0.82639	32	0.91381	30	0.71034	11	0.72773	11	0.89681	21	0.92522	10	0.5351	20	0.79532	0.88889	0.75	0.74074	0.77778	0	0	0	0	0	0	7	18	6	14	4	25	0	25
6-year-old	72	OE013	m	1	1.3083	0.98611	32	1.1634	32	1.2501	10	1.9849	14	1.142	18	1.1807	12	1.1403	20	1.3143	1	0.97222	0.96296	1	0	0	0	0	0	0	0	2	0	2	0	2	0	2
6-year-old	71	OE014	m	2	1.2516	0.95683	32	1.1192	24	1.4242	8	1.4343	14	1.1011	18	1.1363	8	1.3867	16	1.4397	1	0.91045	0.92	0.88235	0	5	0	4	1	5	0	1	0	0	1	1	5	6
6-year-old	72	OE015	m	1	1.3531	0.96528	31	1.3825	32	1.3515	12	1.4214	13	1.2542	18	1.4769	12	1.2524	20	1.4106	0.94444	0.98611	0.98148	1	0	0	0	0	0	0	4	1	3	1	0	5	0	5
6-year-old	72	OE016	f	2	1.4031	0.96528	30	1.2214	32	1.4154	11	2.0123	10	1.2568	20	1.2058	12	1.257	20	1.5072	0.94444	0.97222	0.96296	1	1	0	1	0	0	1	2	2	2	2	0	4	1	5
6-year-old	77	OE017	m	1	1.7111	0.76389	27	1.852	28	1.5743	8	1.6247	13	1.7537	14	1.9442	10	1.4374	18	1.6493	0.7963	0.75	0.75926	0.72222	7	8	5	5	3	15	9	10	6	8	2	19	15	34
6-year-old	75	OE018	f	2	1.1325	0.95139	29	0.91267	32	1.3722	10	1.209	12	0.92269	17	0.9088	12	1.1888	20	1.4761	0.94444	0.97222	0.96296	1	0	0	0	0	0	0	5	2	3	2	0	7	0	7
6-year-old	79	OE019	m	1	1.1065	0.95139	31	0.90662	32	1.3314	12	1.2593	13	0.9284	18	0.89055	12	1.2172	20	1.3976	0.94444	0.95833	0.94444	1	0	0	0	0	0	0	4	3	3	3	0	7	0	7
6-year-old	73	OE020	m	1	0.88555	0.97917	32	0.84567	34	0.84563	12	1.0254	14	0.83117	18	0.85871	14	0.76046	20	0.90698	0.98148	0.97222	0.96296	1	1	0	1	0	0	1	0	2	0	2	0	2	1	3
6-year-old	77	OE021	f	2	1.1261	0.97917	30	1.1508	32	1.1456	11	1.0393	11	1.1114	19	1.1739	12	1.0381	20	1.2101	0.98148	0.97222	0.98148	0.94444	1	0	1	0	0	1	0	2	0	1	1	2	1	3
6-year-old	72	OE022	f	2	1.1877	0.97222	32	1.0229	32	1.3505	11	1.4036	11	0.98138	21	1.0425	11	1.3761	21	1.3344	0.98148	0.95833	0.98148	0.88889	0	0	0	0	0	0	1	3	1	1	2	4	0	4
6-year-old	74	OE023	m	1	1.2104	0.97222	32	1.0773	34	1.3961	11	1.2924	11	1.0622	21	1.0849	12	1.3725	22	1.41	1	0.94444	0.92593	1	0	0	0	0	0	0	0	4	0	4	0	4	0	4
6-year-old	79	OE024	m	2	0.8814	0.98611	32	0.78577	32	0.94361	11	1.0412	13	0.71202	19	0.83567	13	0.88512	19	0.98307	1	0.97222	1	0.88889	0	0	0	0	0	0	0	2	0	0	2	2	0	2
